id_zmienna;zmienna;id_przekroj;nazwa_przekroj;id_jednostka_terytorialna;jednostka_terytorialna;id_typ_informacji;typ_informacji;id_wymiar_2;nazwa_wymiar_2;id_pozycja_2;nazwa_pozycja_2;id_wymiar_3;nazwa_wymiar_3;id_pozycja_3;nazwa_pozycja_3;id_wymiar_4;nazwa_wymiar_4;id_pozycja_4;nazwa_pozycja_4;id_wymiar_5;nazwa_wymiar_5;id_pozycja_5;nazwa_pozycja_5;id_wymiar_6;nazwa_wymiar_6;id_pozycja_6;nazwa_pozycja_6;id_wymiar_7;nazwa_wymiar_7;id_pozycja_7;nazwa_pozycja_7;id_wymiar_8;nazwa_wymiar_8;id_pozycja_8;nazwa_pozycja_8;id_wymiar_9;nazwa_wymiar_9;id_pozycja_9;nazwa_pozycja_9;id_okres;id_daty;opis_okres;wartosc;id_braku_wartosci;oznaczenie_braku_wartosci;nazwa_braku_wartosci;id_tajnosci;oznaczenie_tajnosci;nazwa_tajnosci;id_flaga;oznaczenie_flagi;nazwa_flaga;notka
1557;Dług Skarbu Państwa;1251;"Polska; Rodzaje długu Skarbu Państwa według kryterium miejsca emisji";33617;POLSKA;300;[mln zł];;;;;984;Rodzaje długu Skarbu Państwa według kryterium miejsca emisji;8083540;Ogółem;;;;;;;;;;;;;;;;;;;;;;;;;282;2000;2000 ;266816.8;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;Stan w dniu 31 grudnia
1557;Dług Skarbu Państwa;1251;"Polska; Rodzaje długu Skarbu Państwa według kryterium miejsca emisji";33617;POLSKA;300;[mln zł];;;;;984;Rodzaje długu Skarbu Państwa według kryterium miejsca emisji;8083540;Ogółem;;;;;;;;;;;;;;;;;;;;;;;;;282;2001;2001 ;283938.2;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;Stan w dniu 31 grudnia
1557;Dług Skarbu Państwa;1251;"Polska; Rodzaje długu Skarbu Państwa według kryterium miejsca emisji";33617;POLSKA;300;[mln zł];;;;;984;Rodzaje długu Skarbu Państwa według kryterium miejsca emisji;8083540;Ogółem;;;;;;;;;;;;;;;;;;;;;;;;;282;2002;2002 ;327904.4;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;Stan w dniu 31 grudnia
1557;Dług Skarbu Państwa;1251;"Polska; Rodzaje długu Skarbu Państwa według kryterium miejsca emisji";33617;POLSKA;300;[mln zł];;;;;984;Rodzaje długu Skarbu Państwa według kryterium miejsca emisji;8083540;Ogółem;;;;;;;;;;;;;;;;;;;;;;;;;282;2003;2003 ;378943.8;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;Stan w dniu 31 grudnia
1557;Dług Skarbu Państwa;1251;"Polska; Rodzaje długu Skarbu Państwa według kryterium miejsca emisji";33617;POLSKA;300;[mln zł];;;;;984;Rodzaje długu Skarbu Państwa według kryterium miejsca emisji;8083540;Ogółem;;;;;;;;;;;;;;;;;;;;;;;;;282;2004;2004 ;402860.2;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;Stan w dniu 31 grudnia
1557;Dług Skarbu Państwa;1251;"Polska; Rodzaje długu Skarbu Państwa według kryterium miejsca emisji";33617;POLSKA;300;[mln zł];;;;;984;Rodzaje długu Skarbu Państwa według kryterium miejsca emisji;8083540;Ogółem;;;;;;;;;;;;;;;;;;;;;;;;;282;2005;2005 ;440167.3;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;Stan w dniu 31 grudnia
1557;Dług Skarbu Państwa;1251;"Polska; Rodzaje długu Skarbu Państwa według kryterium miejsca emisji";33617;POLSKA;300;[mln zł];;;;;984;Rodzaje długu Skarbu Państwa według kryterium miejsca emisji;8083540;Ogółem;;;;;;;;;;;;;;;;;;;;;;;;;282;2006;2006 ;478526.4;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;Stan w dniu 31 grudnia
1557;Dług Skarbu Państwa;1251;"Polska; Rodzaje długu Skarbu Państwa według kryterium miejsca emisji";33617;POLSKA;300;[mln zł];;;;;984;Rodzaje długu Skarbu Państwa według kryterium miejsca emisji;8083540;Ogółem;;;;;;;;;;;;;;;;;;;;;;;;;282;2007;2007 ;501531;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;Stan w dniu 31 grudnia
1557;Dług Skarbu Państwa;1251;"Polska; Rodzaje długu Skarbu Państwa według kryterium miejsca emisji";33617;POLSKA;300;[mln zł];;;;;984;Rodzaje długu Skarbu Państwa według kryterium miejsca emisji;8083540;Ogółem;;;;;;;;;;;;;;;;;;;;;;;;;282;2008;2008 ;569945.9;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;Stan w dniu 31 grudnia
1557;Dług Skarbu Państwa;1251;"Polska; Rodzaje długu Skarbu Państwa według kryterium miejsca emisji";33617;POLSKA;300;[mln zł];;;;;984;Rodzaje długu Skarbu Państwa według kryterium miejsca emisji;8083540;Ogółem;;;;;;;;;;;;;;;;;;;;;;;;;282;2009;2009 ;631506.5;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;Stan w dniu 31 grudnia
