year;year_2;value
1999;1999 ;0.68
2000;2000 ;0.64
2001;2001 ;0.62
2002;2002 ;0.56
2003;2003 ;0.54
2004;2004 ;0.55
2005;2005 ;0.56
2006;2006 ;0.55
2007;2007 ;0.56
2008;2008 ;0.6
2009;2009 ;0.66
2010;2010 ;0.72
2011;2011 ;0.75
2012;2012 ;0.88
2013;2013 ;0.88
2014;2014 ;0.94
2015;2015 ;1
2016;2016 ;0.96
2017;2017 ;1.03
2018;2018 ;1.21
2019;2019 ;1.32
2020;2020 ;1.39
2021;2021 ;1.43
2022;2022 ;1.46
