year;year_2;value
1999;1999 ;119
2000;2000 ;125
2001;2001 ;127
2002;2002 ;118
2003;2003 ;119
2004;2004 ;135
2005;2005 ;146
2006;2006 ;155
2007;2007 ;175
2008;2008 ;202
2009;2009 ;238
2010;2010 ;270
2011;2011 ;303
2012;2012 ;372
2013;2013 ;375
2014;2014 ;420
2015;2015 ;470
2016;2016 ;467
2017;2017 ;536
2018;2018 ;668
2019;2019 ;789
2020;2020 ;849
2021;2021 ;992
2022;2022 ;1182
