year;year_2;value
2000;2000 ;266816.8
2001;2001 ;283938.2
2002;2002 ;327904.4
2003;2003 ;378943.8
2004;2004 ;402860.2
2005;2005 ;440167.3
2006;2006 ;478526.4
2007;2007 ;501531
2008;2008 ;569945.9
2009;2009 ;631506.5
2010;2010 ;701850.6
2011;2011 ;771127.5
2012;2012 ;793853.7
2013;2013 ;838025.4
2014;2014 ;779938.4
2015;2015 ;834550.6
2016;2016 ;928666.2
2017;2017 ;928473
2018;2018 ;954269.3
2019;2019 ;973338.2
2020;2020 ;1097480
2021;2021 ;1138033.6
2022;2022 ;1238470.5
